midi_filename,n_notes,unique_ioi_raw,unique_ioi_q,dur_std_raw,dur_std_q
2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_19_R1_2015_wav--4.midi,1129,407,90,0.7254082076699007,0.725319835999544
2018/MIDI-Unprocessed_Recital8_MID--AUDIO_08_R1_2018_wav--2.midi,8200,620,146,0.37471643583268033,0.37472232229585634
2011/MIDI-Unprocessed_06_R3_2011_MID--AUDIO_R3-D3_06_Track06_wav.midi,7592,336,74,0.1292563981178978,0.12914223470059186
2006/MIDI-Unprocessed_05_R2_2006_01_ORIG_MID--AUDIO_05_R2_2006_02_Track02_wav.midi,2290,495,136,0.7882650444976309,0.788324129470338
2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--4.midi,6146,431,92,0.18764809995621584,0.1876600292807416
2014/MIDI-UNPROCESSED_04-05_R1_2014_MID--AUDIO_05_R1_2014_wav--6.midi,934,385,98,0.4856221240654378,0.48548671450784603
2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_15_R1_2015_wav--4.midi,3601,435,76,0.20207050144158817,0.20209342546212206
2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--1.midi,5004,432,147,0.434900571242377,0.43495926845820426
2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_17_R1_2014_wav--1.midi,9304,624,170,0.39825699730159864,0.3982103862455607
2009/MIDI-Unprocessed_21_R1_2009_01-03_ORIG_MID--AUDIO_21_R1_2009_21_R1_2009_03_WAV.midi,9909,437,105,0.28031818105706297,0.2804190877571819
2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_14_R1_2013_wav--4.midi,9642,415,99,0.23522444244620042,0.23524525132126436
2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_18_Track18_wav.midi,3241,264,67,0.29150106760140515,0.2915904535321229
2013/ORIG-MIDI_03_7_6_13_Group__MID--AUDIO_10_R1_2013_wav--2.midi,2734,258,65,0.3495773420983439,0.34949898669911406
2013/ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_12_R1_2013_wav--3.midi,1427,350,104,0.5881826267566047,0.5882058197656045
2015/MIDI-Unprocessed_R2_D2-19-21-22_mid--AUDIO-from_mp3_22_R2_2015_wav--2.midi,7281,469,107,0.2442633772311061,0.2442275798949283
2011/MIDI-Unprocessed_05_R1_2011_MID--AUDIO_R1-D2_09_Track09_wav.midi,1353,186,54,0.4275034964620281,0.42766329495263017
2004/MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_10_Track10_wav.midi,6369,243,51,0.14120565092767243,0.14133082282794887
2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_10_R1_2014_wav--2.midi,1172,296,78,0.3157791076226929,0.31585945712950597
2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_11_R1_2015_wav--4.midi,1344,426,80,0.5327188465872839,0.5327211197538188
2009/MIDI-Unprocessed_04_R1_2009_04-06_ORIG_MID--AUDIO_04_R1_2009_04_R1_2009_06_WAV.midi,2680,280,70,0.17446122227236577,0.1742836739436713
2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_08_R1_2015_wav--3.midi,3241,190,53,0.2170713750378384,0.2171412596457308
2017/MIDI-Unprocessed_056_PIANO056_MID--AUDIO-split_07-07-17_Piano-e_1-05_wav--2.midi,1937,239,42,0.1523378210719739,0.15238974355313545
2009/MIDI-Unprocessed_19_R2_2009_01_ORIG_MID--AUDIO_19_R2_2009_19_R2_2009_03_WAV.midi,2719,376,96,0.24375134722541014,0.2437655908222957
2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--3.midi,1564,290,84,0.36087649427923696,0.3609907407223438
2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_18_R2_2013_wav--3.midi,1413,334,72,0.7713007180928303,0.7712541073987167
2009/MIDI-Unprocessed_15_R1_2009_03-06_ORIG_MID--AUDIO_15_R1_2009_15_R1_2009_05_WAV.midi,1963,455,130,0.6845783792184266,0.6845315350818711
2006/MIDI-Unprocessed_23_R2_2006_01_ORIG_MID--AUDIO_23_R2_2006_03_Track03_wav.midi,4243,469,120,0.2651364258803868,0.2651545731890858
2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_06_R2_2015_wav--1.midi,4310,399,66,0.2845212328031227,0.28457842859690063
2009/MIDI-Unprocessed_01_R1_2009_01-04_ORIG_MID--AUDIO_01_R1_2009_01_R1_2009_04_WAV.midi,6382,521,143,0.44123880058743,0.44125637792463834
2017/MIDI-Unprocessed_066_PIANO066_MID--AUDIO-split_07-07-17_Piano-e_3-02_wav--4.midi,4154,281,56,0.06369152359263168,0.0637073508944565
2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_09_R1_2015_wav--3.midi,2339,171,34,0.13175782602376074,0.13179800904121367
2011/MIDI-Unprocessed_19_R1_2011_MID--AUDIO_R1-D7_12_Track12_wav.midi,3010,272,64,0.4442388394702511,0.44446282761194
2017/MIDI-Unprocessed_070_PIANO070_MID--AUDIO-split_07-08-17_Piano-e_1-02_wav--3.midi,7591,592,133,0.4347585829060984,0.43471770130248455
2004/MIDI-Unprocessed_SMF_16_R1_2004_01-08_ORIG_MID--AUDIO_16_R1_2004_05_Track05_wav.midi,1620,464,90,0.3584747304605172,0.3586399040445345
2017/MIDI-Unprocessed_060_PIANO060_MID--AUDIO-split_07-07-17_Piano-e_2-04_wav--4.midi,4000,344,72,0.23368378207032917,0.23373806346919446
2006/MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_02_Track02_wav.midi,6391,541,135,0.4407101127122846,0.4407045157456191
2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--5.midi,3104,291,92,0.16450971143473936,0.16450132201186932
2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_06_R1_2015_wav--1.midi,1564,216,37,0.1892874923563597,0.1891795870611816
2008/MIDI-Unprocessed_08_R3_2008_01-05_ORIG_MID--AUDIO_08_R3_2008_wav--1.midi,4776,422,94,0.267293321212659,0.2672900122400157
2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_06_R1_2015_wav--2.midi,7953,648,104,0.39331920668800685,0.3933616170804604
2017/MIDI-Unprocessed_041_PIANO041_MID--AUDIO-split_07-06-17_Piano-e_1-01_wav--2.midi,6590,357,82,0.3188721630423102,0.31887444873160903
2009/MIDI-Unprocessed_16_R2_2009_01_ORIG_MID--AUDIO_16_R2_2009_16_R2_2009_01_WAV.midi,5498,560,150,0.3158559533624229,0.3159101236229295
2004/MIDI-Unprocessed_XP_09_R1_2004_01-02_ORIG_MID--AUDIO_09_R1_2004_02_Track02_wav.midi,2638,381,108,0.3668049335290216,0.3669458781233649
2008/MIDI-Unprocessed_04_R1_2008_01-04_ORIG_MID--AUDIO_04_R1_2008_wav--1.midi,2176,298,81,0.8019193012988729,0.8017224517910677
